rep_idx,num_crossed_trials
1,94
2,91
3,97
4,91
5,95
6,91
7,90
8,87
9,96
10,91
11,93
12,94
13,87
14,91
15,88
16,90
17,93
18,85
19,89
20,89
21,93
22,90
23,91
24,95
25,92
26,89
27,91
28,91
29,88
30,92
31,95
32,91
33,97
34,87
35,88
36,91
37,94
38,94
39,91
40,86
41,91
42,87
43,97
44,91
45,93
46,90
47,97
48,90
49,91
50,90
51,92
52,91
53,94
54,87
55,91
56,90
57,87
58,94
59,90
60,93
61,93
62,91
63,90
64,94
65,89
66,90
67,87
68,82
69,92
70,90
71,89
72,88
73,94
74,96
75,87
76,93
77,92
78,88
79,85
80,90
81,94
82,94
83,94
84,91
85,89
86,95
87,91
88,87
89,92
90,89
91,84
92,85
93,83
94,93
95,91
96,91
97,96
98,88
99,88
100,91
