rep,node,steps,update_discovered
001,1,1000,26877
002,1,1000,26705
003,1,1000,26894
004,1,1000,27134
005,1,1000,26831
006,1,1000,26590
007,1,1000,26716
008,1,1000,27622
009,1,1000,26795
010,1,1000,27261
011,1,1000,26598
012,1,1000,27189
013,1,1000,26636
014,1,1000,26823
015,1,1000,26833
016,1,1000,26926
017,1,1000,27351
018,1,1000,26550
019,1,1000,27033
020,1,1000,26990
021,1,1000,26480
022,1,1000,27003
023,1,1000,27827
024,1,1000,27112
025,1,1000,27225
026,1,1000,27624
027,1,1000,27170
028,1,1000,26633
029,1,1000,26971
030,1,1000,26475
031,1,1000,27262
032,1,1000,27757
033,1,1000,27229
034,1,1000,27222
035,1,1000,27098
036,1,1000,26858
037,1,1000,26565
038,1,1000,27310
039,1,1000,26503
040,1,1000,27199
041,1,1000,26454
042,1,1000,27744
043,1,1000,27051
044,1,1000,27134
045,1,1000,27639
046,1,1000,27024
047,1,1000,26816
048,1,1000,26773
049,1,1000,27601
050,1,1000,26554
