rep_idx,num_crossed_trials
1,52
2,63
3,57
4,68
5,60
6,60
7,65
8,59
9,66
10,58
11,62
12,75
13,68
14,70
15,69
16,60
17,63
18,64
19,53
20,60
21,63
22,66
23,56
24,50
25,63
26,68
27,62
28,59
29,65
30,63
31,60
32,65
33,56
34,65
35,68
36,55
37,67
38,65
39,59
40,60
41,66
42,59
43,68
44,65
45,62
46,65
47,67
48,51
49,56
50,63
51,57
52,65
53,58
54,58
55,58
56,53
57,63
58,65
59,57
60,67
61,59
62,67
63,63
64,57
65,58
66,66
67,61
68,66
69,63
70,55
71,56
72,59
73,67
74,60
75,57
76,63
77,62
78,65
79,64
80,59
81,66
82,52
83,62
84,54
85,55
86,50
87,67
88,62
89,59
90,57
91,67
92,59
93,64
94,57
95,56
96,57
97,70
98,63
99,40
100,63
