rep_idx,num_crossed_trials
1,61
2,63
3,57
4,56
5,64
6,51
7,56
8,50
9,60
10,71
11,50
12,59
13,72
14,58
15,63
16,68
17,62
18,53
19,65
20,61
21,61
22,60
23,62
24,58
25,60
26,70
27,52
28,57
29,58
30,68
31,55
32,57
33,50
34,68
35,60
36,57
37,54
38,65
39,55
40,58
41,64
42,63
43,58
44,61
45,64
46,66
47,68
48,68
49,55
50,48
51,60
52,64
53,56
54,63
55,62
56,63
57,62
58,65
59,58
60,61
61,58
62,59
63,63
64,63
65,68
66,55
67,60
68,65
69,56
70,61
71,62
72,49
73,63
74,70
75,53
76,56
77,55
78,61
79,64
80,64
81,59
82,55
83,50
84,59
85,62
86,56
87,59
88,61
89,59
90,67
91,58
92,59
93,53
94,59
95,61
96,59
97,67
98,61
99,63
100,57
