rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,100,466,7.29066,9.0375,-1,7.59403,1,18,9.57516,-1,-1,-1,0,11,348,3600
001,200,519,7.3126,21.3939,-1,16.8736,1,37,100.578,-1,-1,-1,0,3,344,3600
001,300,553,7.36425,32.8892,-1,23.8399,1,42,189.926,-1,-1,-1,0,2,376,3600
001,400,640,7.35165,43.9022,-1,25.3582,1,62,159.321,-1,-1,-1,0,2,368,3600
001,500,553,7.21342,55.4417,24,39.9199,1,69,582.627,30.2043,3.27572,101.781,235.143,1,339,3600
001,600,590,7.15031,66.1178,24,29.7882,1,88,220.663,31.4355,4.73748,192.333,461.69,1,330,3600
001,700,578,7.16313,77.6442,44,37.9649,1,70,480.144,29.4502,2.77423,118.984,246.293,1,345,3600
001,800,643,7.1991,88.5319,50,48.5417,1,83,877.57,31.5268,4.02548,161.074,227.839,1,346,3600
001,900,711,7.35008,99.0528,50,60.8586,1,104,1332.11,33.3229,4.44978,105.195,270.252,1,349,3600
001,1000,780,7.38049,109.541,50,73.9684,1,125,2010.85,32.1698,4.10674,129.861,247.477,1,384,3600
001,1100,777,7.53007,119.951,50,66.6623,1,144,1819.97,32.7657,4.92642,99.4932,251.405,1,374,3600
001,1200,709,7.34345,131.048,74,67.1548,1,121,1993.34,32.4399,5.60848,107.333,200.069,1,355,3600
001,1300,713,7.12185,142.904,74,83.8941,1,144,3191.78,33.0706,4.9506,128.972,244.31,1,334,3600
001,1400,788,7.22866,154.493,74,87.3605,1,168,4279.37,32.0725,5.97512,198.097,282.329,1,372,3600
001,1500,788,7.59994,166.366,74,69.3496,1,192,5140.49,31.5784,5.20714,86.8381,174.701,1,384,3600
001,1600,718,7.48827,177.805,147,38.0514,1,69,594.764,27.5205,2.04418,82.3891,176.875,1,387,3600
001,1700,752,7.08528,189.639,147,50.1654,1,91,1134.88,30.6474,2.1356,207.681,324.614,1,356,3600
001,1800,784,7.47351,201.464,147,52.1779,1,116,1818.37,29.9017,3.38592,86.1451,190.546,1,357,3600
001,1900,749,7.37825,213.37,188,27.8321,1,58,320.015,28.9585,2.68134,239.062,318.547,1,379,3600
001,2000,736,7.33121,224.382,188,31.8412,1,78,562.247,32.7929,2.6833,102.053,258.278,1,329,3600
001,2100,731,7.21635,235.882,219,24.4023,1,40,96.5618,28.6059,1.85465,100.611,216.571,1,352,3600
001,2200,763,7.33552,246.606,224,24.0566,1,51,130.924,30.7673,3.17858,132.385,257.636,1,356,3600
001,2300,756,7.00915,257.953,235,28.1886,1,51,218.1,30.2207,2.37487,91.8278,185.07,1,318,3600
001,2400,820,7.31472,268.654,238,35.6045,1,67,422.475,30.8833,4.03189,120.957,271.028,1,345,3600
001,2500,864,7.1956,279.888,238,51.7197,1,90,926.065,32.0883,2.98633,141.458,337.5,1,333,3600
001,2600,807,7.30424,291.543,238,47.9053,1,113,1875.5,29.8067,2.55642,84.2414,204.001,1,340,3600
001,2700,840,7.19143,303.349,282,22.0443,1,46,119.248,29.821,2.00141,144.349,212.865,1,385,3600
001,2800,832,7.18723,315.609,293,28.0268,1,51,259.753,30.0359,2.65817,96.8961,256.522,1,365,3600
001,2900,823,7.11671,326.189,293,34.9565,1,72,460.258,32.0317,1.90943,85.775,236.884,1,328,3600
001,3000,813,7.01986,339.032,313,31.6843,1,57,360.247,31.316,1.90602,97.2415,213.148,1,321,3600
001,3100,836,7.25944,351.166,336,21.8218,1,37,69.8598,26.8075,2.20205,113.471,184.769,1,354,3600
001,3200,932,7.22462,362.348,336,32.3525,1,60,293.481,30.1672,3.82591,169.634,287.506,1,351,3600
001,3300,946,7.55004,373.603,336,31.9507,1,79,298.106,29.9551,1.86429,117.6,272.784,1,389,3600
001,3400,880,7.04162,384.771,351,27.2385,1,71,229.456,30.5362,3.6668,115.142,215.428,1,334,3600
001,3500,928,7.45943,396.107,371,32.5709,1,56,313.944,28.8469,3.55282,122.148,217.78,1,372,3600
001,3600,935,6.94143,407.874,371,39.7348,1,76,394.642,30.9242,3.62428,115.874,236.649,1,329,3600
001,3700,967,7.20829,420.345,386,33.1999,1,73,557.41,29.9613,1.76965,89.9118,236.95,1,355,3600
001,3800,929,7.27655,433.036,407,31.7085,1,60,298.624,28.4055,2.06944,110.624,204.644,1,345,3600
001,3900,993,7.10708,444.173,407,41.005,1,79,451.148,32.2881,4.57112,132.289,263.812,1,318,3600
001,4000,988,7.19898,455.058,416,37.459,1,85,411.964,30.4553,3.90323,129.194,235.929,1,340,3600
001,4100,976,7.35031,467.145,428,51.9303,1,86,955.196,29.5781,3.32396,94.3423,181.367,1,360,3600
001,4200,961,7.18504,478.111,428,37.8677,1,106,1228.06,32.2815,4.62494,107.247,244.288,1,314,3600
001,4300,933,7.0998,490.029,472,15.5455,1,38,53.4379,30.5314,1.45383,199.273,299.042,1,321,3600
001,4400,1046,7.3371,500.753,479,30.6524,1,51,206.188,29.8505,3.41224,105.607,222.017,1,362,3600
001,4500,1044,7.25956,512.408,479,30.4872,1,71,336.476,30.0698,3.21191,92.1259,203.788,1,363,3600
001,4600,1090,7.31748,523.527,496,36.8757,1,62,379.084,29.0819,2.36899,127.721,218.503,1,356,3600
001,4700,1121,7.32895,535.63,496,35.9715,1,84,722.359,29.0693,1.95398,188.169,281.627,1,381,3600
001,4800,1058,6.97478,547.117,523,26.8565,1,53,134.694,31.786,3.17,77.3099,212.854,1,321,3600
001,4900,1054,6.99545,558.203,526,43.6025,1,69,437.923,30.3441,4.63813,88.5714,184.095,1,310,3600
001,5000,1094,6.92273,568.959,534,51.6467,1,77,646.991,29.9994,5.64438,99.8503,182.024,1,334,3600
001,5100,1085,7.15545,581.401,535,27.4638,1,97,466.374,29.1379,2.33741,123.093,252.11,1,343,3600
001,5200,1089,6.75903,593.559,572,24.9764,1,48,183.739,31.4709,2.57629,88.1859,220.837,1,310,3600
001,5300,1106,7.08477,605.987,588,27.2538,1,42,128.081,30.4086,3.91622,85.485,200.529,1,321,3600
001,5400,1218,7.26788,617.195,588,42.3934,1,65,366.291,31.5023,4.3386,122.226,218.17,1,358,3600
001,5500,1187,7.21299,627.819,588,52.7268,1,87,931.126,31.6184,3.34763,128.768,266.655,1,350,3600
001,5600,1150,6.68357,640.271,588,28.3577,1,108,592.973,31.1675,2.55799,252,333.227,1,335,3600
001,5700,1220,7.45281,650.981,625,37.517,1,57,257.942,29.095,4.18818,109.35,177.447,1,380,3600
001,5800,1201,6.84974,663.055,625,51.157,1,82,578.327,30.3092,4.24427,218.958,277.74,1,334,3600
001,5900,1194,7.17878,674.923,632,48.9873,1,92,1302.38,30.6486,2.30661,299.464,409.162,1,359,3600
001,6000,1239,7.27601,686.588,632,41.789,1,117,1520.44,30.0912,4.4991,84.2115,188.388,1,368,3600
001,6100,1289,7.56571,697.522,632,70.5066,1,140,2720.76,30.3442,7.78722,119.126,217.252,1,383,3600
001,6200,1308,7.37407,710.154,632,84.3313,1,162,4597.74,33.1438,4.36379,85.7628,239.963,1,373,3600
001,6300,1217,6.89522,722.834,632,48.0406,1,186,4295.16,33.3939,3.63767,129.657,276.212,1,315,3600
001,6400,1188,6.90013,734.967,718,26.5305,1,40,114.174,29.0585,1.8401,147.392,210.746,1,311,3600
001,6500,1289,7.18845,746.021,718,37.4538,1,62,404.288,31.7689,3.44035,146.597,236.19,1,346,3600
001,6600,1366,7.21763,756.888,718,54.4454,1,84,771.738,32.2026,3.486,101.788,230.609,1,359,3600
001,6700,1355,6.92826,768.09,718,44.1642,1,107,1613.19,33.7758,2.52197,245.532,594.117,1,334,3600
001,6800,1242,7.31178,781.096,764,25.1558,1,40,144.26,26.48,1.10692,90.1893,170.362,1,355,3600
001,6900,1307,7.3801,792.304,778,23.6938,1,38,70.2308,28.3382,1.75272,106.195,218.288,1,366,3600
001,7000,1276,6.95849,805.092,778,18.0997,1,58,104.619,30.7445,2.45004,145,265.525,1,328,3600
001,7100,1348,7.45262,817.166,796,26.9935,1,47,173.803,29.1247,1.55254,73.6937,209.459,1,369,3600
001,7200,1349,7.28161,829.278,798,35.8201,1,70,564.714,27.9159,2.35921,98.4591,180.315,1,368,3600
001,7300,1323,7.25014,841.121,798,30.8686,1,91,466.839,30.1182,4.52331,65.0449,156.279,1,330,3600
001,7400,1375,7.07479,852.929,798,35.6239,1,114,703.134,30.9155,2.28395,151.585,339.337,1,332,3600
001,7500,1391,7.28206,865.499,830,22.6849,1,73,117.616,31.135,3.63285,98.5,282.69,1,352,3600
001,7600,1409,7.3364,876.96,853,34.6555,1,55,293.936,29.2834,1.78526,151.522,273.044,1,366,3600
001,7700,1345,7.26458,890.558,869,20.1571,1,44,119.018,26.8814,2.49359,205,263.308,1,353,3600
001,7800,1474,7.19918,902.077,875,26.9651,1,63,173.622,30.2032,2.98928,132.402,251.791,1,360,3600
001,7900,1495,7.26658,914.393,885,38.9315,1,65,332.613,31.2439,3.43498,283,437.713,1,344,3600
001,8000,1433,7.36098,926.309,891,46.8611,1,77,691.962,29.6766,3.54003,98.4078,184.835,1,351,3600
001,8100,1547,7.42165,937.477,891,49.1687,1,98,1245.34,31.8414,4.09561,121.269,281.35,1,361,3600
001,8200,1429,7.24899,949.446,933,24.6026,1,40,103.895,28.8093,1.96513,84.3302,169.74,1,344,3600
001,8300,1500,7.36358,960.622,933,29.2518,1,60,314.521,30.7103,2.7857,131.643,233.415,1,343,3600
001,8400,1543,7.31117,971.212,933,47.8344,1,84,622.371,29.6698,6.20897,91.1758,192.478,1,364,3600
001,8500,1525,7.18673,982.788,933,59.1159,1,106,1341.18,32.2469,3.16993,116.244,223.089,1,336,3600
001,8600,1466,6.84599,995.563,933,23.1714,1,127,201.487,30.4802,3.54043,300,655.761,1,298,3600
001,8700,1472,6.7245,1004.95,982,34.8504,1,50,238.311,37.3689,5.08688,180.669,350.885,1,292,3600
001,8800,1341,5.60393,1005.11,982,36.0014,1,51,251.319,121.484,16.0804,209.668,1447.93,1,189,3600
001,8900,1323,5.23602,1005.12,982,36.3006,1,51,250.938,197.835,21.3199,273.236,4783.86,1,176,3600
001,9000,1331,5.008,1005.17,982,35.6513,1,52,266.927,293.291,15.7862,380.581,8476.06,1,184,3600
001,9100,1297,4.59219,1005.21,982,35.5405,1,53,282.53,357.203,22.7724,459.733,16293.6,1,158,3600
001,9200,1289,4.51564,1005.22,982,35.8028,1,52,281.716,439.775,30.0193,577.153,25197.3,1,160,3600
001,9300,1264,4.20583,1005.18,982,33.0543,1,52,305.835,546.696,31.4885,682.251,32549.7,1,137,3600
001,9400,1259,3.96356,1005.25,982,33.871,1,52,309.897,642.119,33.9298,811.274,41967.7,1,138,3600
001,9500,1258,4.01729,1005.2,982,31.4457,1,54,309.874,721.803,28.5384,866.08,54915.3,1,149,3600
001,9600,1271,4.10347,1005.16,982,33.5903,1,51,297.819,843.641,36.109,956.675,58590.4,1,160,3600
001,9700,1258,4.13014,1005.2,982,34.8359,1,53,294.151,908.516,62.134,1129.59,82729.4,1,147,3600
001,9800,1274,4.2563,1005.29,982,35.9688,1,53,293.21,995.109,43.1902,1229.7,97014.4,1,162,3600
001,9900,1256,4.17444,1005.43,982,34.9811,1,54,302.568,1033.21,56.3678,1257.03,134263,1,155,3600
001,10000,1261,4.33817,1005.43,982,34.0585,1,53,327.61,1117.34,51.2176,1356.76,160027,1,155,3600
001,10100,1256,4.4733,1005.79,982,33.5076,1,54,325.814,1079.88,51.4055,1482.05,233928,1,141,3600
001,10200,1268,4.23373,1006.44,982,36.4789,1,56,344.42,1065.46,41.6154,1548.26,304920,1,161,3600
001,10300,1266,4.16892,1006.76,982,36.2469,1,60,426.728,847.11,29.0221,1726.69,326889,1,165,3600
001,10400,1259,4.0138,1006.93,982,35.5427,1,59,416.532,989.477,33.9979,1826.99,413487,1,156,3600
001,10500,1220,3.74642,1006.76,982,32.3317,1,56,421.676,1238.74,38.5298,1852.55,382960,1,141,3600
001,10600,1239,3.85057,1006.96,982,33.2618,1,58,432.484,1202.68,31.9819,1947.33,407245,1,155,3600
001,10700,1215,3.61304,1006.8,982,31.9916,1,57,455.168,1364.8,36.1761,2056.89,406416,1,135,3600
001,10800,1208,3.52025,1006.88,982,31.5712,1,56,436.297,1482.39,41.8313,2144.5,442471,1,129,3600
001,10900,1253,3.51938,1006.69,982,30.656,1,57,448.517,1471.92,32.4637,2242.94,440181,1,164,3600
001,11000,1184,3.24666,1006.76,983,28.9534,1,55,454.974,1690.18,42.0372,2345.15,501743,1,130,3600
001,11100,1199,3.26565,1006.55,983,29.4335,1,54,408.08,1816.76,50.5848,2442.26,513660,1,142,3600
001,11200,1190,3.18701,1006.38,983,29.4775,1,54,420.748,2064.06,45.6333,2543.06,453576,1,135,3600
001,11300,1226,3.36641,1006.48,983,29.3643,1,54,431.69,2137.01,36.3846,2643.95,535607,1,168,3600
001,11400,1217,3.19223,1006.41,983,29.5443,1,56,419.408,2165.5,43.2059,2742.57,637462,1,158,3600
001,11500,1214,3.3036,1006.85,983,29.2871,1,60,448.613,2143.93,40.5067,2843.57,787561,1,149,3600
001,11600,1191,3.1725,1006.78,983,27.7722,1,57,479.487,2293.26,40.7532,2945.19,859889,1,136,3600
001,11700,1206,3.32984,1006.52,983,28.669,1,58,450.25,2292.53,53.4132,3043.64,1.05209e+06,1,146,3600
001,11800,1224,3.77716,1006.89,983,29.6761,1,56,453.37,2078.86,42.7949,3142.5,1.27903e+06,1,167,3600
001,11900,1202,3.40136,1006.84,983,28.8464,1,57,480.137,2170.96,44.6494,3244.45,1.26429e+06,1,143,3600
001,12000,1180,3.38648,1007.36,983,28.992,1,57,494.872,2163.94,52.806,3346.98,1.44981e+06,1,125,3600
001,12100,1203,3.68056,1007.64,983,28.8271,1,56,495.775,1910.95,43.3095,3445.81,1.59885e+06,1,147,3600
001,12200,1194,3.42279,1007.44,983,28.4833,1,55,493.55,2270.77,45.5854,3545.38,1.59581e+06,1,142,3600
001,12300,1220,3.55116,1007.18,983,29.7016,1,58,474.237,2236.79,47.3827,3643.71,1.70678e+06,1,156,3600
001,12400,1183,3.37251,1007.43,983,30.2262,1,57,482.2,2490.51,61.5312,3743.41,1.86224e+06,1,130,3600
001,12500,1199,3.27477,1007.4,983,30.2717,1,57,487.548,2383.89,54.5676,3842.54,1.96514e+06,1,148,3600
001,12600,1177,3.15335,1007.55,983,30.5361,1,57,493.159,2489.16,65.6825,3943.57,2.14291e+06,1,126,3600
001,12700,1194,3.09078,1007.18,983,29.7295,1,55,459.574,2989.88,75.6786,4042.49,2.18507e+06,1,146,3600
001,12800,1198,3.40878,1007.36,983,30.6855,1,57,476.986,2606.73,64.7463,4143.51,2.45468e+06,1,141,3600
001,12900,1219,3.55036,1007.95,983,30.751,1,58,490.861,2588.25,57.6364,4241.99,2.36605e+06,1,162,3600
001,13000,1232,3.29092,1007.76,983,30.1132,1,58,494.815,2609.26,48.2766,4343.13,2.22718e+06,1,179,3600
001,13100,1193,3.21758,1008.12,983,29.9338,1,57,489.675,2694.23,63.5342,4444.38,2.39268e+06,1,136,3600
001,13200,1199,3.20968,1007.46,983,30.2939,1,57,485.289,2660.72,70.7164,4543.93,2.51647e+06,1,144,3600
001,13300,1219,3.41173,1007.4,983,30.3198,1,58,489.258,2813.33,63.6579,4643.73,2.33333e+06,1,157,3600
001,13400,1197,3.35478,1007.73,983,30.4766,1,57,493.512,2483.62,100.29,4744.09,2.37378e+06,1,140,3600
001,13500,1225,3.66973,1008.13,983,30.6077,1,58,497.814,2319.87,82.1978,4841.95,2.55252e+06,1,167,3600
001,13600,1218,3.55229,1008.39,983,29.5321,1,57,512.326,2534.12,83.6023,4942.51,2.44695e+06,1,155,3600
001,13700,1199,3.60054,1008.59,983,29.7674,1,58,506.932,2656.29,88.4353,5043.21,2.6015e+06,1,143,3600
001,13800,1198,3.50471,1009.17,983,29.1425,1,60,530.603,2184.2,96.2651,5144.36,2.13531e+06,1,134,3600
001,13900,1219,3.71414,1009.17,983,26.29,1,60,517.073,2434.43,86.2285,5244.1,2.08476e+06,1,162,3600
001,14000,1211,3.55963,1009.41,983,27.2487,1,61,539.79,2263.81,94.1213,5344.34,1.4156e+06,1,151,3600
001,14100,1202,3.18792,1009.64,983,21.6398,1,59,482.062,2494.47,80.6391,5449.14,1.34647e+06,1,144,3600
001,14200,1183,3.01575,1009.51,983,23.0952,1,61,503.586,2747.79,108.99,5551.05,1.64073e+06,1,125,3600
001,14300,1206,2.89149,1009.65,983,19.9521,1,58,478.595,2628.08,87.0118,5651.33,1.22429e+06,1,151,3600
001,14400,1195,2.641,1009.73,983,20.2235,1,59,485.429,3002.31,91.5942,5740.67,1.34804e+06,1,138,3600
001,14500,1198,2.82944,1009.62,983,19.6778,1,59,469.141,2908.92,99.1492,5840.84,1.63362e+06,1,141,3600
001,14600,1207,2.74627,1009.68,983,20.8353,1,58,476.935,3061.87,89.0608,5938.57,2.20551e+06,1,151,3600
001,14700,1192,2.68955,1009.87,983,14.0872,1,58,328.764,3241.03,93.1656,6046.98,1.3672e+06,1,138,3600
001,14800,1178,2.48836,1010.05,983,13.9427,1,59,337.886,3352.49,93.7736,6151.03,1.32033e+06,1,120,3600
001,14900,1202,2.95251,1009.91,983,21.3294,1,60,494.587,3233.35,109.648,6240.38,2.24846e+06,1,140,3600
001,15000,1205,3.11828,1010.02,983,17.2111,1,59,410.467,3239.46,84.0756,6342.23,2.26257e+06,1,144,3600
001,15100,1175,2.94011,1009.96,983,20.4731,1,59,491.194,3394.81,117.846,6444.43,2.03627e+06,1,114,3600
001,15200,1214,3.3186,1009.66,983,22.0823,1,61,504.462,3375.76,94.0042,6538.34,2.57969e+06,1,151,3600
001,15300,1207,3.13018,1009.7,983,25.639,1,60,536.063,3581.84,117.076,6636.87,3.44616e+06,1,139,3600
001,15400,1203,3.10935,1009.78,983,24.8987,1,61,548.577,3323.02,116.63,6737.23,3.27948e+06,1,143,3600
001,15500,1211,3.15375,1010.06,983,23.3412,1,61,531.135,3504.98,110.698,6837.39,3.11553e+06,1,149,3600
001,15600,1213,3.17529,1010.05,983,15.8798,1,61,381.149,3319.37,95.55,7037.69,2.48448e+06,1,143,3600
001,15700,1199,3.12891,1010.19,983,18.0355,1,61,418.862,3559.99,110.223,7040.86,3.13598e+06,1,144,3600
001,15800,1196,3.04837,1010.26,983,17.4873,1,62,412.809,3732.43,91.2837,7141.89,3.14728e+06,1,137,3600
001,15900,1201,2.89564,1010.49,983,16.7331,1,61,407.796,3911.32,89.0523,7241.89,3.01973e+06,1,146,3600
