rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
015,33919,2147,7.81884,885.537,742,188.609,1,304,9682.26,185.46,54.3449,1336.74,8215.47,1,421,3600,582
015,35434,2195,8.10157,924.31,756,135.021,1,331,5984.89,172.986,46.7551,2290.33,33948.8,1,460,3600,742
015,35469,2029,7.96304,925.573,820,133.036,1,234,5697.5,151.033,47.1388,495.495,3854.29,1,449,3600,756
016,27750,2158,8.02182,734.098,480,275.273,1,515,38202.8,203.642,71.1439,632.282,5403.78,1,436,3600,-1
016,34003,2464,8.08617,899.942,647,310.55,1,521,40974.4,199.258,73.1795,772.517,8750.69,1,459,3600,480
016,39209,2545,7.88538,1034.52,871,222.311,1,346,12476.4,204.559,72.3957,1334.58,11700.8,1,436,3600,647
017,30981,2520,7.90876,796.92,453,427.637,1,713,77369.5,247.744,103.76,645.622,6103,1,435,3600,-1
018,12983,1728,7.96155,336.574,101,279.844,1,488,38035.2,204.157,83.1521,629.979,4544.69,1,417,3600,-1
018,31093,2345,8.06017,794.116,529,328.094,1,548,43202.9,206.397,77.86,525.614,5749.55,1,461,3600,101
018,37264,2423,8.12672,949.47,792,235.464,1,336,11403.4,179.826,74.5017,482.474,3455.59,1,457,3600,529
019,20489,2397,7.89337,528.725,174,391.613,1,729,79507.6,245.404,99.5539,1206.71,22706.6,1,435,3600,-1
019,21842,1782,7.96768,565.878,376,231.89,1,400,24043.9,162.398,56.6286,579.733,3373.5,1,440,3600,174
019,36779,2343,7.88603,976.409,723,292.865,1,527,39050.5,185.119,77.6959,669.606,3737.17,1,434,3600,376
019,43815,2903,7.8744,1130.92,880,344.294,1,523,37233.9,399.776,125.458,2919.47,50801.9,1,425,3600,723
020,12967,1974,8.08366,347.886,9,378.909,1,692,73507.6,203.443,85.9034,700.967,5521.98,1,468,3600,-1
020,14939,1789,8.01688,402.349,235,228.599,1,349,13888.9,176.535,70.1663,1129.28,5970.22,1,456,3600,9
020,22472,2140,8.00222,603.905,290,373.083,1,652,68659,215.273,75.3825,840.823,9324.48,1,441,3600,235
020,41942,2488,7.92969,1117.85,898,216.13,1,462,28793.1,214.149,69.3576,1800.09,26766.1,1,441,3600,290
020,55196,2932,7.75714,1225.22,1044,264.751,1,396,15668.7,585.953,224.011,2537.76,109721,1,423,3600,898
021,15726,1827,7.9545,413.63,225,244.48,1,400,19563.5,181.411,79.4248,557.785,5078.02,1,461,3600,-1
021,22931,2147,8.01994,602.822,317,316.383,1,582,47524.1,210.041,78.715,1852.01,14919.8,1,446,3600,225
021,26195,2191,8.00859,693.119,512,252.04,1,381,16155,191.452,77.1325,1026.47,8949.82,1,457,3600,317
021,40866,2343,7.93067,1085.43,957,176.247,1,270,7527.65,179.763,64.3288,601.359,4467.02,1,443,3600,512
