rep_idx,num_crossed_trials
1,99
5,98
7,98
8,97
9,99
11,99
13,99
14,97
15,98
16,99
18,99
19,98
2,100
22,99
23,99
25,99
26,98
27,98
28,99
29,97
3,100
31,99
32,99
34,99
37,98
39,99
40,99
4,100
42,99
43,99
44,99
45,99
47,98
50,98
51,98
52,99
54,99
56,99
57,99
59,98
60,99
6,100
63,99
65,98
66,97
69,99
70,97
74,99
76,99
77,99
80,98
81,99
82,99
83,99
87,99
88,99
89,98
90,98
91,97
92,98
93,99
96,98
10,100
12,100
17,100
20,100
21,100
24,100
30,100
33,100
35,100
36,100
38,100
41,100
46,100
48,100
49,100
53,100
55,100
58,100
61,100
62,100
64,100
67,100
68,100
71,100
72,100
73,100
75,100
78,100
79,100
84,100
85,100
86,100
94,100
95,100
97,100
98,100
99,100
100,100
