rep_idx,num_crossed_trials
1,32
2,27
3,32
4,31
5,28
6,40
7,30
8,27
9,30
10,29
11,30
12,41
13,37
14,32
15,36
16,41
17,28
18,35
19,25
20,37
21,33
22,38
23,31
24,30
25,27
26,37
27,37
28,32
29,31
30,34
31,43
32,38
33,34
34,34
35,36
36,33
37,29
38,36
39,28
40,33
41,36
42,31
43,38
44,37
45,26
46,35
47,34
48,36
49,31
50,30
51,35
52,37
53,37
54,26
55,32
56,33
57,38
58,33
59,32
60,37
61,35
62,29
63,35
64,38
65,34
66,30
67,24
68,35
69,33
70,35
71,32
72,31
73,37
74,30
75,34
76,34
77,28
78,24
79,31
80,32
81,32
82,29
83,30
84,36
85,37
86,31
87,30
88,33
89,42
90,36
91,36
92,32
93,41
94,42
95,31
96,32
97,32
98,32
99,33
100,36
