rep_idx,num_crossed_trials
1,65
2,52
3,54
4,57
5,56
6,46
7,58
8,62
9,56
10,57
11,57
12,52
13,55
14,48
15,55
16,54
17,49
18,59
19,55
20,49
21,49
22,54
23,54
24,64
25,58
26,66
27,66
28,58
29,57
30,55
31,62
32,59
33,51
34,48
35,62
36,60
37,55
38,46
39,52
40,49
41,47
42,63
43,61
44,57
45,47
46,45
47,56
48,58
49,59
50,47
51,52
52,49
53,68
54,57
55,54
56,60
57,52
58,56
59,60
60,64
61,59
62,57
63,52
64,62
65,53
66,51
67,53
68,52
69,54
70,57
71,54
72,59
73,61
74,52
75,62
76,59
77,65
78,64
79,60
80,52
81,50
82,66
83,49
84,48
85,66
86,59
87,51
88,58
89,52
90,63
91,60
92,54
93,55
94,53
95,52
96,51
97,51
98,51
99,63
100,60
