rep_idx,num_crossed_trials
1,64
2,69
3,58
4,64
5,60
6,59
7,59
8,67
9,66
10,67
11,63
12,58
13,64
14,68
15,51
16,64
17,60
18,58
19,59
20,70
21,56
22,66
23,67
24,67
25,63
26,62
27,59
28,69
29,65
30,58
31,63
32,65
33,60
34,62
35,66
36,58
37,61
38,64
39,60
40,61
41,59
42,60
43,53
44,68
45,59
46,65
47,66
48,67
49,70
50,57
51,63
52,63
53,55
54,65
55,64
56,59
57,58
58,59
59,69
60,61
61,59
62,66
63,67
64,62
65,57
66,58
67,53
68,61
69,67
70,60
71,62
72,67
73,64
74,62
75,65
76,62
77,60
78,62
79,58
80,58
81,59
82,57
83,63
84,58
85,56
86,65
87,55
88,64
89,67
90,64
91,60
92,66
93,65
94,63
95,59
96,56
97,72
98,68
99,69
100,72
