rep_idx,num_crossed_trials
1,88
2,89
3,91
4,89
5,93
6,91
7,88
8,90
9,87
10,93
11,89
12,86
13,86
14,91
15,92
16,87
17,93
18,85
19,90
20,93
21,92
22,90
23,86
24,94
25,89
26,95
27,90
28,94
29,86
30,85
31,93
32,92
33,84
34,91
35,88
36,95
37,90
38,91
39,88
40,95
41,84
42,89
43,94
44,90
45,93
46,88
47,87
48,89
49,90
50,91
51,88
52,87
53,93
54,92
55,89
56,88
57,90
58,97
59,91
60,89
61,92
62,92
63,98
64,90
65,90
66,98
67,89
68,91
69,92
70,97
71,93
72,88
73,91
74,88
75,91
76,84
77,87
78,90
79,92
80,90
81,89
82,94
83,88
84,90
85,90
86,93
87,92
88,95
89,91
90,86
91,94
92,95
93,89
94,89
95,92
96,91
97,92
98,93
99,93
100,91
