rep_idx,num_crossed_trials
1,91
2,87
3,85
4,89
5,90
6,90
7,86
8,89
9,84
10,91
11,87
12,90
13,87
14,91
15,89
16,89
17,91
18,93
19,90
20,92
21,94
22,92
23,90
24,83
25,82
26,88
27,92
28,88
29,88
30,94
31,94
32,89
33,88
34,90
35,90
36,96
37,82
38,89
39,90
40,86
41,89
42,84
43,89
44,85
45,84
46,89
47,87
48,90
49,92
50,84
51,90
52,85
53,89
54,90
55,87
56,84
57,92
58,89
59,87
60,86
61,91
62,87
63,93
64,90
65,91
66,92
67,88
68,88
69,89
70,87
71,93
72,90
73,95
74,85
75,89
76,89
77,90
78,93
79,89
80,88
81,90
82,84
83,87
84,86
85,88
86,92
87,88
88,85
89,92
90,86
91,88
92,88
93,93
94,89
95,86
96,92
97,85
98,91
99,90
100,88
