rep_idx,num_crossed_trials
1,24
2,39
3,36
4,30
5,34
6,40
7,38
8,39
9,33
10,48
11,37
12,41
13,33
14,39
15,42
16,33
17,41
18,45
19,36
20,41
21,42
22,40
23,36
24,34
25,35
26,38
27,37
28,34
29,37
30,44
31,35
32,38
33,45
34,36
35,30
36,38
37,47
38,40
39,29
40,39
41,33
42,37
43,39
44,36
45,33
46,35
47,38
48,39
49,41
50,41
51,36
52,40
53,41
54,37
55,39
56,41
57,35
58,45
59,32
60,28
61,38
62,34
63,29
64,30
65,35
66,28
67,33
68,31
69,35
70,39
71,34
72,41
73,37
74,31
75,34
76,32
77,35
78,37
79,31
80,35
81,33
82,40
83,34
84,34
85,34
86,38
87,34
88,40
89,38
90,39
91,37
92,40
93,35
94,39
95,32
96,38
97,32
98,39
99,36
100,42
