rep_idx,num_crossed_trials
1,92
2,85
3,92
4,88
5,91
6,93
7,87
8,91
9,92
10,87
11,91
12,91
13,92
14,94
15,82
16,90
17,90
18,89
19,89
20,89
21,88
22,81
23,87
24,85
25,92
26,84
27,95
28,89
29,88
30,87
31,90
32,91
33,90
34,86
35,93
36,89
37,94
38,86
39,92
40,97
41,92
42,92
43,92
44,90
45,94
46,85
47,93
48,87
49,95
50,91
51,86
52,92
53,96
54,92
55,84
56,90
57,94
58,91
59,87
60,93
61,92
62,89
63,92
64,92
65,93
66,86
67,89
68,92
69,91
70,93
71,91
72,87
73,92
74,89
75,91
76,89
77,93
78,92
79,84
80,89
81,89
82,89
83,88
84,89
85,93
86,89
87,88
88,95
89,91
90,85
91,83
92,86
93,89
94,90
95,92
96,91
97,80
98,94
99,93
100,91
