rep_idx,num_crossed_trials
1,98
3,99
4,99
5,98
7,98
9,99
10,99
11,97
12,99
14,99
17,97
18,98
19,98
20,98
2,100
24,96
25,99
26,99
27,99
28,99
30,99
32,98
33,98
34,99
35,99
37,99
39,96
41,99
43,99
44,96
45,98
48,98
49,99
50,99
51,99
52,98
53,99
56,99
57,98
59,98
60,98
6,100
64,99
66,99
67,99
68,97
69,98
70,99
71,98
72,99
73,72
74,99
75,99
77,96
78,98
79,97
80,98
8,100
81,99
82,98
83,99
84,96
85,98
89,97
91,98
92,99
94,99
95,99
97,97
98,99
13,100
15,100
16,100
21,100
22,100
23,100
29,100
31,100
36,100
38,100
40,100
42,100
46,100
47,100
54,100
55,100
58,100
61,100
62,100
63,100
65,100
76,100
86,100
87,100
88,100
90,100
93,100
96,100
99,100
100,100
