rep_idx,num_crossed_trials
1,89
2,86
3,89
4,87
5,94
6,85
7,89
8,90
9,90
10,88
11,86
12,92
13,89
14,90
15,81
16,89
17,88
18,87
19,91
20,90
21,89
22,85
23,89
24,89
25,92
26,88
27,88
28,84
29,93
30,92
31,91
32,92
33,90
34,88
35,92
36,91
37,86
38,92
39,85
40,89
41,91
42,87
43,90
44,90
45,92
46,94
47,85
48,88
49,89
50,87
51,85
52,91
53,91
54,92
55,93
56,83
57,94
58,91
59,91
60,83
61,91
62,90
63,87
64,93
65,91
66,91
67,87
68,94
69,92
70,88
71,86
72,92
73,91
74,92
75,92
76,90
77,89
78,90
79,90
80,89
81,91
82,90
83,90
84,95
85,93
86,89
87,91
88,89
89,89
90,88
91,95
92,89
93,84
94,92
95,85
96,87
97,87
98,87
99,94
100,94
