rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,5792,640,5.50946,284.481,275,6.9565,1,21,8.60491,59.0367,0.875707,263,1364.89,1,311,3600,260
001,5808,642,5.6448,286.072,276,7.66088,1,21,10.9411,57.357,0.867494,184.231,1151.04,1,306,3600,275
001,5866,655,5.5555,288.964,281,7.54638,1,20,10.3663,61.7825,0.68,192,1079.57,1,310,3600,276
001,5895,640,5.17181,290.02,282,7.21493,1,19,10.3672,66.8154,0.740614,169.8,825.109,1,301,3600,281
001,5954,634,5.46645,291.478,285,7.39855,1,18,13.2129,74.9635,0.905136,208.25,1864.54,1,287,3600,282
001,5993,658,5.54231,293.189,286,8.37755,1,21,17.5766,65.4311,1.09275,213.71,1579.78,1,296,3600,285
001,6269,610,5.33721,309.837,301,5.50753,1,14,4.51768,62.1412,0.626335,176,1110.62,1,282,3600,286
001,6281,620,5.29909,310.652,305,5.71276,1,14,4.92633,61.0868,0,147,1142.72,1,291,3600,301
001,6354,613,5.48726,314.683,307,8.47057,1,18,15.595,53.9937,0.727273,195.5,1282.36,1,277,3600,305
001,6369,605,5.13037,316.114,309,9.24926,1,19,21.9125,51.2511,1.07558,175,872.379,1,271,3600,307
001,6478,667,5.51361,322.388,313,6.08317,1,18,5.41096,61.2211,0.708889,187.5,1176.48,1,302,3600,309
001,6499,657,5.71517,323.306,317,6.73287,1,16,6.35552,62.6837,0.639842,186,1158.29,1,305,3600,313
001,6528,663,6.06573,324.75,318,7.65599,1,18,8.71891,57.9432,0.900766,193,1409.7,1,293,3600,317
001,6551,653,5.51181,325.328,320,8.63905,1,17,11.1876,60.538,1.09028,166.11,1110.94,1,283,3600,318
001,6666,684,5.74589,333.45,321,6.36794,1,28,16.2183,55.1333,0.95553,244.25,1097.3,1,306,3600,320
001,6691,677,5.4818,335.437,327,5.79607,1,18,5.97429,58.5366,0.616989,183,848.368,1,305,3600,321
001,6732,673,5.92042,338.113,331,6.0091,1,15,5.7705,52.8348,0,153.027,998.529,1,305,3600,327
001,6767,713,6.01209,339.501,335,7.4078,1,15,7.25673,56.7782,0.581673,146,761.963,1,334,3600,331
