rep_idx,num_crossed_trials
1,22
2,23
3,24
4,18
5,18
6,19
7,19
8,19
9,18
10,18
11,25
12,29
13,18
14,12
15,20
16,23
17,26
18,25
19,22
20,21
21,25
22,29
23,17
24,24
25,25
26,24
27,24
28,30
29,29
30,27
31,22
32,25
33,28
34,20
35,18
36,20
37,20
38,16
39,16
40,17
41,16
42,19
43,27
44,27
45,26
46,32
47,21
48,26
49,22
50,26
51,23
52,17
53,23
54,24
55,20
56,27
57,23
58,23
59,20
60,17
61,23
62,19
63,27
64,20
65,27
66,22
67,27
68,18
69,28
70,19
71,22
72,20
73,19
74,27
75,25
76,19
77,24
78,18
79,19
80,26
81,26
82,21
83,18
84,15
85,26
86,24
87,24
88,14
89,21
90,20
91,19
92,25
93,26
94,20
95,20
96,19
97,28
98,25
99,18
100,26
