rep_idx,num_crossed_trials
1,21
2,30
3,27
4,28
5,23
6,32
7,14
8,12
9,22
10,28
11,24
12,28
13,19
14,32
15,22
16,20
17,27
18,28
19,22
20,21
21,17
22,20
23,25
24,15
25,27
26,21
27,27
28,26
29,22
30,14
31,22
32,21
33,18
34,22
35,18
36,28
37,19
38,23
39,24
40,19
41,20
42,29
43,19
44,24
45,22
46,17
47,24
48,19
49,23
50,21
51,24
52,27
53,20
54,25
55,17
56,15
57,22
58,17
59,24
60,21
61,19
62,23
63,17
64,22
65,22
66,27
67,17
68,17
69,25
70,24
71,24
72,25
73,20
74,23
75,33
76,23
77,21
78,17
79,16
80,15
81,25
82,23
83,21
84,25
85,20
86,13
87,16
88,22
89,23
90,24
91,23
92,25
93,26
94,24
95,23
96,25
97,21
98,20
99,19
100,24
