rep_idx,num_crossed_trials
1,32
2,23
3,29
4,28
5,29
6,39
7,39
8,28
9,44
10,30
11,38
12,30
13,32
14,25
15,34
16,28
17,30
18,26
19,32
20,37
21,26
22,34
23,26
24,27
25,34
26,25
27,27
28,34
29,28
30,21
31,30
32,38
33,27
34,29
35,30
36,30
37,38
38,27
39,40
40,32
41,30
42,36
43,35
44,32
45,34
46,33
47,38
48,29
49,31
50,29
51,31
52,33
53,29
54,33
55,32
56,37
57,35
58,36
59,33
60,30
61,36
62,29
63,33
64,30
65,32
66,35
67,38
68,24
69,27
70,34
71,23
72,30
73,36
74,37
75,34
76,36
77,31
78,35
79,42
80,34
81,33
82,34
83,22
84,38
85,25
86,40
87,24
88,33
89,31
90,30
91,24
92,29
93,33
94,33
95,36
96,29
97,37
98,35
99,32
100,37
