rep_idx,num_crossed_trials
1,38
2,41
3,36
4,31
5,47
6,40
7,34
8,33
9,37
10,40
11,40
12,32
13,34
14,42
15,38
16,40
17,42
18,29
19,44
20,38
21,32
22,42
23,44
24,34
25,31
26,39
27,37
28,35
29,30
30,34
31,42
32,30
33,32
34,44
35,44
36,36
37,45
38,29
39,43
40,46
41,39
42,41
43,40
44,29
45,31
46,36
47,36
48,44
49,36
50,41
51,37
52,29
53,38
54,36
55,41
56,38
57,42
58,35
59,43
60,37
61,44
62,39
63,36
64,38
65,43
66,29
67,36
68,38
69,41
70,42
71,39
72,49
73,46
74,40
75,31
76,46
77,32
78,38
79,36
80,28
81,31
82,39
83,44
84,28
85,31
86,36
87,36
88,38
89,32
90,31
91,33
92,33
93,44
94,38
95,34
96,30
97,35
98,46
99,34
100,43
